Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total_Income
LP001603,Male,Yes,0,"Not Graduate",Yes,4344.00,736.00,87.00,360,1,Semiurban,N,5080.00
LP001606,Male,Yes,0,Graduate,No,3497.00,1964.00,116.00,360,1,Rural,Y,5461.00
LP001608,Male,Yes,2,Graduate,No,2045.00,1619.00,101.00,360,1,Rural,Y,3664.00
LP001610,Male,Yes,3,Graduate,No,5516.00,11300.00,495.00,360,0,Semiurban,N,16816.00
LP001616,Male,Yes,1,Graduate,No,3750.00,0.00,116.00,360,1,Semiurban,Y,3750.00
LP001630,Male,No,0,"Not Graduate",No,2333.00,1451.00,102.00,480,0,Urban,N,3784.00
LP001633,Male,Yes,1,Graduate,No,6400.00,7250.00,180.00,360,0,Urban,N,13650.00
LP001634,Male,No,0,Graduate,No,1916.00,5063.00,67.00,360,1,Rural,N,6979.00
LP001636,Male,Yes,0,Graduate,No,4600.00,0.00,73.00,180,1,Semiurban,Y,4600.00
LP001637,Male,Yes,1,Graduate,No,33846.00,0.00,260.00,360,1,Semiurban,N,33846.00
LP001639,Female,Yes,0,Graduate,No,3625.00,0.00,108.00,360,1,Semiurban,Y,3625.00
LP001640,Male,Yes,0,Graduate,Yes,39147.00,4750.00,120.00,360,1,Semiurban,Y,43897.00
LP001641,Male,Yes,1,Graduate,Yes,2178.00,0.00,66.00,300,0,Rural,N,2178.00
LP001643,Male,Yes,0,Graduate,No,2383.00,2138.00,58.00,360,1,Rural,Y,4521.00
LP001644,other,Yes,0,Graduate,Yes,674.00,5296.00,168.00,360,1,Rural,Y,5970.00
LP001647,Male,Yes,0,Graduate,No,9328.00,0.00,188.00,180,1,Rural,Y,9328.00
LP001653,Male,No,0,"Not Graduate",No,4885.00,0.00,48.00,360,1,Rural,Y,4885.00
LP001656,Male,No,0,Graduate,No,12000.00,0.00,164.00,360,1,Semiurban,N,12000.00
LP001657,Male,Yes,0,"Not Graduate",No,6033.00,0.00,160.00,360,1,Urban,N,6033.00
LP001658,Male,No,0,Graduate,No,3858.00,0.00,76.00,360,1,Semiurban,Y,3858.00
LP001664,Male,No,0,Graduate,No,4191.00,0.00,120.00,360,1,Rural,Y,4191.00
LP001665,Male,Yes,1,Graduate,No,3125.00,2583.00,170.00,360,1,Semiurban,N,5708.00
LP001666,Male,No,0,Graduate,No,8333.00,3750.00,187.00,360,1,Rural,Y,12083.00
LP001669,Female,No,0,"Not Graduate",No,1907.00,2365.00,120.00,360,1,Urban,Y,4272.00
LP001671,Female,Yes,0,Graduate,No,3416.00,2816.00,113.00,360,1,Semiurban,Y,6232.00
LP001673,Male,No,0,Graduate,Yes,11000.00,0.00,83.00,360,1,Urban,N,11000.00
LP001674,Male,Yes,1,"Not Graduate",No,2600.00,2500.00,90.00,360,1,Semiurban,Y,5100.00
LP001677,Male,No,2,Graduate,No,4923.00,0.00,166.00,360,0,Semiurban,Y,4923.00
LP001682,Male,Yes,3,"Not Graduate",No,3992.00,0.00,127.00,180,1,Urban,N,3992.00
LP001688,Male,Yes,1,"Not Graduate",No,3500.00,1083.00,135.00,360,1,Urban,Y,4583.00
LP001691,Male,Yes,2,"Not Graduate",No,3917.00,0.00,124.00,360,1,Semiurban,Y,3917.00
LP001692,Female,No,0,"Not Graduate",No,4408.00,0.00,120.00,360,1,Semiurban,Y,4408.00
LP001693,Female,No,0,Graduate,No,3244.00,0.00,80.00,360,1,Urban,Y,3244.00
LP001698,Male,No,0,"Not Graduate",No,3975.00,2531.00,55.00,360,1,Rural,Y,6506.00
LP001699,Male,No,0,Graduate,No,2479.00,0.00,59.00,360,1,Urban,Y,2479.00
LP001702,Male,No,0,Graduate,No,3418.00,0.00,127.00,360,1,Semiurban,N,3418.00
LP001708,Female,No,0,Graduate,No,10000.00,0.00,214.00,360,1,Semiurban,N,10000.00
LP001711,Male,Yes,3,Graduate,No,3430.00,1250.00,128.00,360,0,Semiurban,N,4680.00
LP001713,Male,Yes,1,Graduate,Yes,7787.00,0.00,240.00,360,1,Urban,Y,7787.00
LP001715,Male,Yes,3,"Not Graduate",Yes,5703.00,0.00,130.00,360,1,Rural,Y,5703.00
LP001716,Male,Yes,0,Graduate,No,3173.00,3021.00,137.00,360,1,Urban,Y,6194.00
LP001720,Male,Yes,3,"Not Graduate",No,3850.00,983.00,100.00,360,1,Semiurban,Y,4833.00
LP001722,Male,Yes,0,Graduate,No,150.00,1800.00,135.00,360,1,Rural,N,1950.00
LP001726,Male,Yes,0,Graduate,No,3727.00,1775.00,131.00,360,1,Semiurban,Y,5502.00
LP001732,Male,Yes,2,Graduate,No,5000.00,0.00,72.00,360,0,Semiurban,N,5000.00
LP001734,Female,Yes,2,Graduate,No,4283.00,2383.00,127.00,360,1,Semiurban,Y,6666.00
LP001736,Male,Yes,0,Graduate,No,2221.00,0.00,60.00,360,0,Urban,N,2221.00
LP001743,Male,Yes,2,Graduate,No,4009.00,1717.00,116.00,360,1,Semiurban,Y,5726.00
LP001744,Male,No,0,Graduate,No,2971.00,2791.00,144.00,360,1,Semiurban,Y,5762.00
LP001749,Male,Yes,0,Graduate,No,7578.00,1010.00,175.00,360,1,Semiurban,Y,8588.00
LP001750,Male,Yes,0,Graduate,No,6250.00,0.00,128.00,360,1,Semiurban,Y,6250.00
LP001751,Male,Yes,0,Graduate,No,3250.00,0.00,170.00,360,1,Rural,N,3250.00
LP001754,Male,Yes,0,"Not Graduate",Yes,4735.00,0.00,138.00,360,1,Urban,N,4735.00
LP001758,Male,Yes,2,Graduate,No,6250.00,1695.00,210.00,360,1,Semiurban,Y,7945.00
LP001760,Male,unknown,0,Graduate,No,4758.00,0.00,158.00,480,1,Semiurban,Y,4758.00
LP001761,Male,No,0,Graduate,Yes,6400.00,0.00,200.00,360,1,Rural,Y,6400.00
LP001765,Male,Yes,1,Graduate,No,2491.00,2054.00,104.00,360,1,Semiurban,Y,4545.00
LP001768,Male,Yes,0,Graduate,No,3716.00,0.00,42.00,180,1,Rural,Y,3716.00
LP001770,Male,No,0,"Not Graduate",No,3189.00,2598.00,120.00,360,1,Rural,Y,5787.00
LP001776,Female,No,0,Graduate,No,8333.00,0.00,280.00,360,1,Semiurban,Y,8333.00
LP001778,Male,Yes,1,Graduate,No,3155.00,1779.00,140.00,360,1,Semiurban,Y,4934.00
LP001784,Male,Yes,1,Graduate,No,5500.00,1260.00,170.00,360,1,Rural,Y,6760.00
LP001786,Male,Yes,0,Graduate,No,5746.00,0.00,255.00,360,1,Urban,N,5746.00
LP001788,Female,No,0,Graduate,Yes,3463.00,0.00,122.00,360,1,Urban,Y,3463.00
LP001790,Female,No,1,Graduate,No,3812.00,0.00,112.00,360,1,Rural,Y,3812.00
LP001792,Male,Yes,1,Graduate,No,3315.00,0.00,96.00,360,1,Semiurban,Y,3315.00
LP001798,Male,Yes,2,Graduate,No,5819.00,5000.00,120.00,360,1,Rural,Y,10819.00
LP001800,Male,Yes,1,"Not Graduate",No,2510.00,1983.00,140.00,180,1,Urban,N,4493.00
LP001806,Male,No,0,Graduate,No,2965.00,5701.00,155.00,60,1,Urban,Y,8666.00
LP001807,Male,Yes,2,Graduate,Yes,6250.00,1300.00,108.00,360,1,Rural,Y,7550.00
LP001811,Male,Yes,0,"Not Graduate",No,3406.00,4417.00,123.00,360,1,Semiurban,Y,7823.00
LP001813,Male,No,0,Graduate,Yes,6050.00,4333.00,120.00,180,1,Urban,N,10383.00
LP001814,Male,Yes,2,Graduate,No,9703.00,0.00,112.00,360,1,Urban,Y,9703.00
LP001819,Male,Yes,1,"Not Graduate",No,6608.00,0.00,137.00,180,1,Urban,Y,6608.00
LP001824,Male,Yes,1,Graduate,No,2882.00,1843.00,123.00,480,1,Semiurban,Y,4725.00
LP001825,Male,Yes,0,Graduate,No,1809.00,1868.00,90.00,360,1,Urban,Y,3677.00
LP001835,Male,Yes,0,"Not Graduate",No,1668.00,3890.00,201.00,360,0,Semiurban,N,5558.00
LP001836,Female,No,2,Graduate,No,3427.00,0.00,138.00,360,1,Urban,N,3427.00
LP001841,Male,No,0,"Not Graduate",Yes,2583.00,2167.00,104.00,360,1,Rural,Y,4750.00
LP001843,Male,Yes,1,"Not Graduate",No,2661.00,7101.00,279.00,180,1,Semiurban,Y,9762.00
LP001844,Male,No,0,Graduate,Yes,16250.00,0.00,192.00,360,0,Urban,N,16250.00
LP001846,Female,No,3,Graduate,No,3083.00,0.00,255.00,360,1,Rural,Y,3083.00
LP001849,Male,No,0,"Not Graduate",No,6045.00,0.00,115.00,360,0,Rural,N,6045.00
LP001854,Male,Yes,3,Graduate,No,5250.00,0.00,94.00,360,1,Urban,N,5250.00
LP001859,Male,Yes,0,Graduate,No,14683.00,2100.00,304.00,360,1,Rural,N,16783.00
LP001864,Male,Yes,3,"Not Graduate",No,4931.00,0.00,128.00,360,1,Semiurban,N,4931.00
LP001865,Male,Yes,1,Graduate,No,6083.00,4250.00,330.00,360,1,Urban,Y,10333.00
LP001868,Male,No,0,Graduate,No,2060.00,2209.00,134.00,360,1,Semiurban,Y,4269.00
LP001870,Female,No,1,Graduate,No,3481.00,0.00,155.00,36,1,Semiurban,N,3481.00
LP001871,Female,No,0,Graduate,No,7200.00,0.00,120.00,360,1,Rural,Y,7200.00
LP001872,Male,No,0,Graduate,Yes,5166.00,0.00,128.00,360,1,Semiurban,Y,5166.00
LP001875,Male,No,0,Graduate,No,4095.00,3447.00,151.00,360,1,Rural,Y,7542.00
LP001877,Male,Yes,2,Graduate,No,4708.00,1387.00,150.00,360,1,Semiurban,Y,6095.00
LP001882,Male,Yes,3,Graduate,No,4333.00,1811.00,160.00,360,0,Urban,Y,6144.00
LP001883,Female,No,0,Graduate,No,3418.00,0.00,135.00,360,1,Rural,N,3418.00
